"Solução";"Custo da Solução";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"sim";6;40;30;0.000344
"sim";10;188;71;0.000277
"sim";28;2199;571;0.001921
"sim";20;787;153;0.001049
"sim";20;126975;46613;0.188283
