"Solução";"Custo da Solução";"Método";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"Sim";31;"Primeira Solução";26619;17848;0.054649
"Trabalhador";"Estados Expandidos";"Estados Visitados"
"#1";4396;3622
"#2";4356;2854
"#3";4501;3294
"#4";4548;2380
"#5";4302;2855
"#6";4516;2843
