"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";18;444;283;0.000324
"sim";20;973;608;0.000623
"sim";20;1094;704;0.000587
"sim";31;18872;12460;0.013678
"sim";31;18067;11935;0.012385
"não";0;181391;183445;3.428185
"não";0;181388;182921;3.378804
