"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";18;441;266;0.000331
"sim";20;906;559;0.000492
"sim";20;765;474;0.000490
"sim";31;17063;11217;0.012337
"sim";31;16968;11139;0.013036
"não";0;181385;188430;3.997108
"não";0;181391;188288;3.966551
