Medições - 8puzzle
Algoritmo A* - sequencial
"8puzzle-easy_1";"sequencial";"sim";18;192;117;77;192;0;122;1;1;0;1;0,000131
"8puzzle-easy_3";paralelo - primeira solução;2;"sim";20;879;546;338;879;0;573;6;1;0;1;0,000477;0,906
"8puzzle-easy_3";paralelo - primeira solução;4;"sim";20;970;605;374;970;1;635;10;1;0;1;0,000425;1,016
"8puzzle-easy_3";paralelo - primeira solução;6;"sim";20;1093;683;422;1093;1;717;9;1;0;1;0,000425;1,016
"8puzzle-easy_3";paralelo - primeira solução;8;"sim";20;1078;681;422;1078;2;710;12;1;0;1;0,000415;1,041
"8puzzle-hard_1";paralelo - primeira solução;2;"sim";31;21256;14143;7170;21256;51;15811;614;1;0;1;0,013852;0,446
"8puzzle-hard_1";paralelo - primeira solução;4;"sim";31;22383;15001;7468;22383;75;16829;708;1;0;1;0,009515;0,649
"8puzzle-hard_1";paralelo - primeira solução;6;"sim";31;18066;11955;6182;18066;57;13227;513;1;0;1;0,005589;1,104
"8puzzle-hard_1";paralelo - primeira solução;8;"sim";31;22286;14939;7467;22286;96;16750;732;1;0;1;0,006615;0,933
"8puzzle-hard_2";paralelo - primeira solução;2;"sim";31;21205;14104;7158;21205;52;15765;617;1;0;1;0,013823;0,544
"8puzzle-hard_2";paralelo - primeira solução;4;"sim";31;22735;15224;7593;22735;71;17094;706;1;0;1;0,009706;0,774
"8puzzle-hard_2";paralelo - primeira solução;6;"sim";31;18880;12520;6430;18880;55;13888;547;1;0;1;0,005936;1,266
"8puzzle-hard_2";paralelo - primeira solução;8;"sim";31;20811;13883;7041;20811;87;15486;658;1;0;1;0,006045;1,244
"8puzzle-impossible_1";paralelo - primeira solução;2;"não";0;181396;192442;23483;181396;11045;304091;27253;0;0;0;1,074054;1,311
"8puzzle-impossible_1";paralelo - primeira solução;4;"não";0;181386;197073;23754;181386;15685;311553;31785;0;0;0;0,581239;2,423
"8puzzle-impossible_1";paralelo - primeira solução;6;"não";0;181381;190788;22694;181381;9406;302220;24559;0;0;0;0,376345;3,743
"8puzzle-impossible_1";paralelo - primeira solução;8;"não";0;181374;199142;25073;181374;17766;313681;35287;0;0;0;0,346421;4,066
"8puzzle-impossible_2";paralelo - primeira solução;2;"não";0;181394;191473;22745;181394;10077;303070;25755;0;0;0;1,040404;1,332
"8puzzle-impossible_2";paralelo - primeira solução;4;"não";0;181383;195961;23085;181383;14577;309853;30473;0;0;0;0,578062;2,398
"8puzzle-impossible_2";paralelo - primeira solução;6;"não";0;181382;190135;22385;181382;8752;301541;23598;0;0;0;0,371872;3,728
"8puzzle-impossible_2";paralelo - primeira solução;8;"não";0;181365;201808;25062;181365;20441;317381;38584;0;0;0;0,348176;3,982
Medições - numberlink
Algoritmo A* - sequencial
"numberlink-1";"sequencial";"sim";8;33;17;18;33;0;6;0;1;0;1;4e-05
