"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";6;46;38;0.000337
"sim";10;707;389;0.001268
"sim";28;19784;6927;0.008631
"sim";20;78486;23487;0.048475
"sim";20;750816;322819;2.418707
