"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";18;478;295;0.000372
"sim";20;809;510;0.000610
"sim";20;1177;741;0.000742
"sim";31;18412;12150;0.012683
"sim";31;23658;15901;0.019000
"não";0;181370;183347;3.432098
"não";0;181372;183215;3.429394
