"Solução";"Custo da Solução";"Método";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"Sim";20;"Melhor Solução";753355;325067;52.707328
"Trabalhador";"Estados Expandidos";"Estados Visitados"
"#1";125710;54258
"#2";125630;54355
"#3";125615;54133
"#4";125642;54124
"#5";125487;54265
"#6";125271;53932
