"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";6;33;17;0.000053
"sim";10;158;44;0.000110
"sim";28;1723;434;0.001170
"sim";20;3482;774;0.002536
"sim";20;112890;41277;0.173792
