"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";18;361;248;0.000347
"sim";20;589;367;0.000481
"sim";20;982;638;0.000710
"sim";31;18601;12290;0.020005
"sim";31;12918;8459;0.011698
"não";0;181381;186539;5.540496
"não";0;181387;187498;5.643900
