"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";6;48;45;0.000252
"sim";10;688;379;0.001069
"sim";28;19771;6519;0.009854
"sim";20;78854;22262;0.038168
"sim";20;751276;323231;2.883249
