"Solução";"Custo da Solução";"Método";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"Sim";31;"Primeira Solução";17281;11311;0.024031
"Trabalhador";"Estados Expandidos";"Estados Visitados"
"#1";2867;1727
"#2";2880;2162
"#3";2853;1722
"#4";2916;1519
"#5";2879;2145
"#6";2886;2036
