"Solução";"Custo da Solução";"Método";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"Não";0;"Melhor Solução";181439;181440;5.147835
"Trabalhador";"Estados Expandidos";"Estados Visitados"
"#1";30128;30129
"#2";30289;30289
"#3";30314;30314
"#4";30149;30149
"#5";30391;30391
"#6";30168;30168
