"Método:";"Melhor Solução";
"Solução";"Custo da Solução";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"sim";28;17315;6111;0.021383
"Trabalhador";"Estados Expandidos";"Estados Visitados"
"#1";3093;1034
"#2";3141;1093
"#3";2832;1004
"#4";2958;979
"#5";2661;1027
"#6";2630;974
