"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";6;44;30;0.000280
"sim";10;127;42;0.000282
"sim";28;7111;1831;0.002841
"sim";20;8190;1600;0.003117
"sim";20;131602;48236;0.074393
