"Método:";"Primeira Solução";
"Solução";"Custo da Solução";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"sim";20;899;554;0.000341
"Trabalhador";"Estados Expandidos";"Estados Visitados"
"#1";152;99
"#2";135;110
"#3";158;115
"#4";143;74
"#5";162;97
"#6";149;59
