"Solução";"Custo da Solução";"Método";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"Sim";28;"Primeira Solução";10292;2758;0.009120
"Trabalhador";"Estados Expandidos";"Estados Visitados"
"#1";1743;528
"#2";1716;447
"#3";1730;526
"#4";1690;517
"#5";1725;432
"#6";1688;308
