"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";6;41;30;0.000281
"sim";10;99;34;0.000260
"sim";28;996;232;0.001095
"sim";20;848;173;0.000825
"sim";20;129872;47904;0.085844
