"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";18;267;163;0.000281
"sim";20;749;460;0.000518
"sim";20;789;488;0.000573
"sim";31;20170;13329;0.022579
"sim";31;25986;17614;0.035047
"não";0;181394;188476;5.820742
"não";0;181393;187286;5.616027
