"Solução";"Custo da Solução";"Método";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"Sim";20;"Primeira Solução";118892;43621;0.540698
"Trabalhador";"Estados Expandidos";"Estados Visitados"
"#1";19831;7261
"#2";19864;7312
"#3";19849;7417
"#4";19756;7225
"#5";19768;7140
"#6";19824;7266
