"Solução";"Custo da Solução";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"sim";6;40;32;0.000183
"sim";10;567;299;0.000839
"sim";28;15541;5104;0.017307
"sim";20;68925;19574;0.071064
"sim";20;749533;322119;10.989974
