"Solução";"Custo da Solução";"Método";"Estados Expandidos";"Estados Visitados";"Tempo de Execução"
"Sim";31;"Melhor Solução";21113;15507;0.041954
"Trabalhador";"Estados Expandidos";"Estados Visitados"
"#1";3440;2534
"#2";3891;2813
"#3";3318;2478
"#4";3264;2449
"#5";3867;2733
"#6";3333;2500
