"Solução";"Custo da Solução";"Estados gerados";"Estados explorados";"Tempo de Execução"
"sim";18;505;311;0.000416
"sim";20;693;428;0.000473
"sim";20;1089;766;0.000598
"sim";31;19555;12995;0.016106
"sim";31;31641;21650;0.036396
"não";0;181393;187794;3.943797
"não";0;181393;188397;4.031646
